Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
117,2,2023-06-30 23:58:18,2023-07-01 00:07:21,5.0,1.13,1.0,N,230,170,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
118,2,2023-06-30 23:58:17,2023-07-01 00:07:37,1.0,1.72,1.0,N,264,264,1,10.7,1.0,0.5,1.0,0.0,1.0,14.2,0.0,0.0,
119,1,2023-06-30 23:58:16,2023-07-01 00:05:36,1.0,1.1,1.0,N,249,79,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0,
120,2,2023-06-30 23:58:15,2023-07-01 00:09:07,1.0,1.25,1.0,N,144,87,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0,
121,2,2023-06-30 23:58:15,2023-07-01 00:11:35,1.0,2.53,1.0,N,148,90,1,14.9,1.0,0.5,2.0,0.0,1.0,21.9,2.5,0.0,
122,2,2023-06-30 23:58:09,2023-07-01 00:10:33,1.0,1.84,1.0,N,68,114,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,
123,2,2023-06-30 23:58:09,2023-07-01 00:20:02,,8.29,,,256,133,0,29.15,0.0,0.5,6.13,0.0,1.0,36.78,,,
124,2,2023-06-30 23:58:08,2023-07-01 00:05:47,1.0,1.23,1.0,N,113,4,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0,
125,2,2023-06-30 23:58:07,2023-07-01 00:02:29,1.0,2.1,1.0,N,137,4,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0,
126,2,2023-06-30 23:58:04,2023-07-01 00:54:35,1.0,20.51,2.0,N,239,132,2,70.0,0.0,0.5,0.0,6.55,1.0,80.55,2.5,0.0,
127,2,2023-06-30 23:58:04,2023-07-01 00:44:46,1.0,18.1,2.0,N,132,50,1,70.0,0.0,0.5,16.46,6.55,1.0,98.76,2.5,1.75,
128,2,2023-06-30 23:58:02,2023-07-01 00:19:17,,9.87,,,233,243,0,31.96,0.0,0.5,0.0,0.0,1.0,35.96,,,
129,2,2023-06-30 23:58:01,2023-07-01 00:12:59,1.0,3.7,1.0,N,211,237,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0,
130,1,2023-06-30 23:57:59,2023-06-30 23:58:07,2.0,0.7,1.0,N,249,249,2,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0,
131,1,2023-06-30 23:57:57,2023-07-01 00:06:19,2.0,1.2,1.0,N,164,161,2,10.0,3.5,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
132,2,2023-06-30 23:57:56,2023-07-01 00:02:36,1.0,0.95,1.0,N,231,249,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,
133,2,2023-06-30 23:57:55,2023-07-01 00:16:37,3.0,2.75,1.0,N,237,238,1,19.1,1.0,0.5,4.82,0.0,1.0,28.92,2.5,0.0,
134,2,2023-06-30 23:57:55,2023-07-01 00:12:54,1.0,3.11,1.0,N,142,263,1,17.0,1.0,0.5,2.64,0.0,1.0,24.64,2.5,0.0,
135,1,2023-06-30 23:57:52,2023-07-01 00:12:03,1.0,3.1,1.0,N,211,33,1,15.6,3.5,0.5,4.12,0.0,1.0,24.72,2.5,0.0,
136,2,2023-06-30 23:57:52,2023-07-01 00:03:20,1.0,0.9,1.0,N,48,161,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0,
